Round,Winning Number,Winning Index,Color
1,22,23,Black
2,36,37,Red
3,13,14,Black
4,35,36,Black
5,19,20,Red
6,31,32,Black
7,27,28,Red
8,24,25,Black
9,19,20,Red
10,22,23,Black
11,17,18,Black
12,2,3,Black
13,20,21,Black
14,19,20,Red
15,32,33,Red
16,30,31,Red
17,11,12,Black
18,12,13,Red
19,18,19,Red
20,22,23,Black
21,5,6,Red
22,7,8,Red
23,8,9,Black
24,29,30,Black
25,20,21,Black
26,31,32,Black
27,1,2,Red
28,13,14,Black
29,00,1,Green
30,28,29,Black
31,30,31,Red
32,17,18,Black
33,5,6,Red
34,27,28,Red
35,4,5,Black
36,3,4,Red
37,18,19,Red
38,8,9,Black
39,0,0,Green
40,6,7,Black
41,7,8,Red
42,20,21,Black
43,1,2,Red
44,24,25,Black
45,20,21,Black
46,30,31,Red
47,29,30,Black
48,6,7,Black
49,26,27,Black
50,25,26,Red
51,6,7,Black
52,31,32,Black
53,36,37,Red
54,36,37,Red
55,10,11,Black
56,23,24,Red
57,30,31,Red
58,6,7,Black
59,17,18,Black
60,10,11,Black
61,31,32,Black
62,3,4,Red
63,28,29,Black
64,19,20,Red
65,3,4,Red
66,00,1,Green
67,34,35,Red
68,8,9,Black
69,2,3,Black
70,4,5,Black
71,9,10,Red
72,23,24,Red
73,35,36,Black
74,25,26,Red
75,1,2,Red
76,7,8,Red
77,27,28,Red
78,35,36,Black
79,8,9,Black
80,20,21,Black
81,30,31,Red
82,22,23,Black
83,23,24,Red
84,4,5,Black
85,0,0,Green
86,0,0,Green
87,16,17,Red
88,6,7,Black
89,36,37,Red
90,26,27,Black
91,34,35,Red
92,22,23,Black
93,14,15,Red
94,6,7,Black
95,30,31,Red
96,26,27,Black
97,31,32,Black
98,22,23,Black
99,7,8,Red
100,30,31,Red
101,8,9,Black
102,0,0,Green
103,24,25,Black
104,8,9,Black
105,29,30,Black
106,8,9,Black
107,15,16,Black
108,13,14,Black
109,20,21,Black
110,21,22,Red
111,32,33,Red
112,2,3,Black
113,3,4,Red
114,00,1,Green
115,8,9,Black
116,1,2,Red
117,9,10,Red
118,11,12,Black
119,13,14,Black
120,7,8,Red
121,13,14,Black
122,21,22,Red
123,17,18,Black
124,36,37,Red
125,32,33,Red
126,7,8,Red
127,12,13,Red
128,19,20,Red
129,36,37,Red
130,0,0,Green
131,32,33,Red
132,25,26,Red
133,21,22,Red
134,34,35,Red
135,33,34,Black
136,34,35,Red
137,0,0,Green
138,0,0,Green
139,3,4,Red
140,34,35,Red
